,point index,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
46,84,French Restaurant,Bar,Japanese Restaurant,Hotel,,,,,,
47,85,French Restaurant,Bar,Athletics & Sports,Japanese Restaurant,Hotel,Chinese Restaurant,Restaurant,,,
48,86,French Restaurant,Athletics & Sports,Italian Restaurant,Chinese Restaurant,Restaurant,,,,,
49,87,Pharmacy,Chinese Restaurant,French Restaurant,,,,,,,
50,88,Pharmacy,French Restaurant,,,,,,,,
51,89,Athletics & Sports,Chinese Restaurant,French Restaurant,,,,,,,
52,90,French Restaurant,Plaza,Athletics & Sports,Chinese Restaurant,Food & Drink Shop,Restaurant,,,,
53,91,French Restaurant,Food & Drink Shop,Restaurant,,,,,,,
54,92,Plaza,,,,,,,,,
55,99,French Restaurant,,,,,,,,,
56,100,French Restaurant,,,,,,,,,
57,101,Food,,,,,,,,,
58,102,Food,,,,,,,,,
59,105,French Restaurant,Nightlife Spot,,,,,,,,
60,106,French Restaurant,Nightlife Spot,,,,,,,,
61,107,Athletics & Sports,Coffee Shop,,,,,,,,
62,108,Athletics & Sports,Outdoors & Recreation,,,,,,,,
63,109,Athletics & Sports,Café,,,,,,,,
64,110,French Restaurant,,,,,,,,,
65,111,French Restaurant,Restaurant,Athletics & Sports,Italian Restaurant,,,,,,
66,112,Asian Restaurant,Japanese Restaurant,French Restaurant,Restaurant,Athletics & Sports,Italian Restaurant,Café,,,
67,113,Japanese Restaurant,Café,French Restaurant,,,,,,,
68,114,Pharmacy,Italian Restaurant,,,,,,,,
69,115,Italian Restaurant,,,,,,,,,
70,116,Food & Drink Shop,French Restaurant,Dessert Shop,Café,Italian Restaurant,Restaurant,,,,
71,117,Food & Drink Shop,French Restaurant,Café,Italian Restaurant,Restaurant,,,,,
72,119,Bakery,,,,,,,,,
73,120,French Restaurant,,,,,,,,,
74,121,Plaza,,,,,,,,,
75,122,Plaza,Outdoors & Recreation,,,,,,,,
76,123,Outdoors & Recreation,,,,,,,,,
77,125,French Restaurant,,,,,,,,,
78,127,Food,,,,,,,,,
79,128,Food,,,,,,,,,
80,130,Nightlife Spot,,,,,,,,,
81,132,Shop & Service,Coffee Shop,Food,,,,,,,
82,133,Shop & Service,Coffee Shop,Food,,,,,,,
83,134,,,,,,,,,,
84,135,Athletics & Sports,Café,French Restaurant,,,,,,,
85,137,Food,Restaurant,,,,,,,,
86,138,Japanese Restaurant,Italian Restaurant,Asian Restaurant,French Restaurant,Restaurant,Bakery,Café,Food & Drink Shop,Food,
87,139,Japanese Restaurant,Italian Restaurant,Asian Restaurant,Bakery,Café,French Restaurant,Food & Drink Shop,Restaurant,,
88,140,Pharmacy,Italian Restaurant,,,,,,,,
89,141,Italian Restaurant,,,,,,,,,
90,142,French Restaurant,Food,Dessert Shop,Japanese Restaurant,Café,Food & Drink Shop,Asian Restaurant,,,
91,143,French Restaurant,Dessert Shop,Italian Restaurant,Café,Food,Food & Drink Shop,Asian Restaurant,Japanese Restaurant,,
92,144,Food & Drink Shop,French Restaurant,Food,,,,,,,
93,145,Bakery,Japanese Restaurant,French Restaurant,Food & Drink Shop,,,,,,
94,146,Bakery,French Restaurant,,,,,,,,
95,147,Plaza,Italian Restaurant,,,,,,,,
96,148,Plaza,Outdoors & Recreation,Italian Restaurant,,,,,,,
97,149,Outdoors & Recreation,,,,,,,,,
98,150,Outdoors & Recreation,Nightlife Spot,,,,,,,,
99,151,Plaza,,,,,,,,,
100,156,Nightlife Spot,,,,,,,,,
101,157,Outdoors & Recreation,,,,,,,,,
102,158,Shop & Service,French Restaurant,Food,,,,,,,
103,159,Café,Shop & Service,French Restaurant,Food,,,,,,
104,160,Outdoors & Recreation,Café,,,,,,,,
105,161,Food,Creperie,Outdoors & Recreation,Japanese Restaurant,,,,,,
106,162,Asian Restaurant,Outdoors & Recreation,,,,,,,,
107,163,French Restaurant,Restaurant,,,,,,,,
108,165,Plaza,Food,,,,,,,,
109,166,Plaza,Japanese Restaurant,Italian Restaurant,French Restaurant,,,,,,
110,167,Italian Restaurant,Food & Drink Shop,,,,,,,,
111,168,Outdoors & Recreation,,,,,,,,,
112,169,Outdoors & Recreation,Food,,,,,,,,
113,170,Japanese Restaurant,Café,French Restaurant,Food,,,,,,
114,171,Asian Restaurant,Japanese Restaurant,Italian Restaurant,Café,French Restaurant,Food,,,,
115,172,Food & Drink Shop,Athletics & Sports,Italian Restaurant,Food,,,,,,
116,173,Food & Drink Shop,Bakery,Japanese Restaurant,French Restaurant,Food,,,,,
117,174,Bakery,French Restaurant,Japanese Restaurant,Café,Chinese Restaurant,,,,,
118,175,Bakery,French Restaurant,Japanese Restaurant,Italian Restaurant,Café,Food & Drink Shop,,,,
119,176,Italian Restaurant,,,,,,,,,
120,177,,,,,,,,,,
121,178,Coffee Shop,,,,,,,,,
122,179,Plaza,Coffee Shop,,,,,,,,
123,180,Plaza,,,,,,,,,
124,182,Nightlife Spot,,,,,,,,,
125,185,Outdoors & Recreation,,,,,,,,,
126,186,Outdoors & Recreation,Café,,,,,,,,
127,187,Café,Outdoors & Recreation,French Restaurant,,,,,,,
128,188,Outdoors & Recreation,Restaurant,,,,,,,,
129,189,Outdoors & Recreation,,,,,,,,,
130,191,Outdoors & Recreation,Bar,,,,,,,,
131,192,Coffee Shop,,,,,,,,,
132,193,Plaza,,,,,,,,,
133,194,Plaza,,,,,,,,,
134,196,Outdoors & Recreation,Italian Restaurant,French Restaurant,,,,,,,
135,197,Outdoors & Recreation,Japanese Restaurant,Italian Restaurant,,,,,,,
136,198,Café,Plaza,Japanese Restaurant,Italian Restaurant,French Restaurant,Food & Drink Shop,,,,
137,199,French Restaurant,Food & Drink Shop,Food,,,,,,,
138,200,Athletics & Sports,French Restaurant,Food,,,,,,,
139,201,Plaza,Athletics & Sports,Bakery,,,,,,,
140,202,French Restaurant,Bakery,Plaza,Japanese Restaurant,Café,Food & Drink Shop,,,,
141,203,Bakery,French Restaurant,Japanese Restaurant,Café,Food & Drink Shop,,,,,
142,204,Italian Restaurant,French Restaurant,Bar,,,,,,,
143,205,Athletics & Sports,Bar,French Restaurant,,,,,,,
144,207,French Restaurant,,,,,,,,,
145,208,French Restaurant,,,,,,,,,
146,210,Outdoors & Recreation,,,,,,,,,
147,211,Outdoors & Recreation,,,,,,,,,
148,215,Food,,,,,,,,,
149,216,Bar,Café,Hotel,French Restaurant,,,,,,
150,217,Athletics & Sports,Food,,,,,,,,
151,218,Bar,,,,,,,,,
152,219,Outdoors & Recreation,Coffee Shop,,,,,,,,
153,220,French Restaurant,Coffee Shop,,,,,,,,
154,221,Plaza,French Restaurant,,,,,,,,
155,222,Plaza,Outdoors & Recreation,Restaurant,,,,,,,
156,223,Outdoors & Recreation,French Restaurant,,,,,,,,
157,224,French Restaurant,,,,,,,,,
158,225,Italian Restaurant,,,,,,,,,
159,226,Plaza,Japanese Restaurant,Italian Restaurant,French Restaurant,Food & Drink Shop,Café,,,,
160,227,French Restaurant,Food,Plaza,Japanese Restaurant,Hotel,Food & Drink Shop,Café,,,
161,228,Hotel,French Restaurant,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,Food,,,,
162,229,Japanese Restaurant,Italian Restaurant,French Restaurant,Food,,,,,,
163,230,Japanese Restaurant,Chinese Restaurant,French Restaurant,,,,,,,
164,231,Bakery,Japanese Restaurant,Italian Restaurant,French Restaurant,Restaurant,,,,,
165,232,French Restaurant,Italian Restaurant,Asian Restaurant,Bakery,Bar,Japanese Restaurant,Food & Drink Shop,Food,Restaurant,
166,233,French Restaurant,Food,Bar,Italian Restaurant,,,,,,
167,234,Hotel,French Restaurant,Food & Drink Shop,Food,Restaurant,,,,,
168,235,Bakery,Italian Restaurant,Chinese Restaurant,French Restaurant,,,,,,
169,236,Asian Restaurant,Bakery,Italian Restaurant,Chinese Restaurant,French Restaurant,,,,,
170,237,Asian Restaurant,Bakery,Outdoors & Recreation,Café,,,,,,
171,238,Outdoors & Recreation,Athletics & Sports,Pharmacy,Café,,,,,,
172,239,Athletics & Sports,Outdoors & Recreation,Food,,,,,,,
173,244,Athletics & Sports,Bar,French Restaurant,Food,,,,,,
174,245,Athletics & Sports,Hotel,Food,,,,,,,
175,246,Bakery,,,,,,,,,
176,247,Japanese Restaurant,Hotel,French Restaurant,Food,Asian Restaurant,Plaza,Bakery,Bar,Chinese Restaurant,
177,248,Food,Japanese Restaurant,Hotel,French Restaurant,Chinese Restaurant,Restaurant,,,,
178,249,Outdoors & Recreation,Italian Restaurant,French Restaurant,Food & Drink Shop,Restaurant,,,,,
179,250,French Restaurant,Outdoors & Recreation,Japanese Restaurant,Italian Restaurant,Food & Drink Shop,Creperie,,,,
180,251,Creperie,Japanese Restaurant,Italian Restaurant,French Restaurant,Food & Drink Shop,,,,,
181,252,Italian Restaurant,Bakery,Hotel,French Restaurant,,,,,,
182,253,Italian Restaurant,French Restaurant,,,,,,,,
183,254,Hotel,Italian Restaurant,French Restaurant,Food,,,,,,
184,255,French Restaurant,Italian Restaurant,Hotel,Food & Drink Shop,,,,,,
185,256,French Restaurant,Italian Restaurant,Japanese Restaurant,Food & Drink Shop,Food,,,,,
186,257,Japanese Restaurant,French Restaurant,Food,,,,,,,
187,258,Restaurant,Italian Restaurant,Dessert Shop,Hotel,Bakery,Chinese Restaurant,Food,French Restaurant,Asian Restaurant,Japanese Restaurant
188,259,Food,Bakery,Japanese Restaurant,Italian Restaurant,French Restaurant,Shop & Service,Bar,Chinese Restaurant,Clothing Store,Coffee Shop
189,260,French Restaurant,Food & Drink Shop,Food,,,,,,,
190,261,Bakery,French Restaurant,Food,Restaurant,Hotel,Food & Drink Shop,,,,
191,262,Bakery,Food,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,Restaurant,Chinese Restaurant,,
192,263,Asian Restaurant,Café,Hotel,,,,,,,
193,264,Bakery,Café,Pharmacy,,,,,,,
194,265,Athletics & Sports,Pharmacy,Bakery,Café,,,,,,
195,266,Plaza,Athletics & Sports,French Restaurant,Food,,,,,,
196,267,Plaza,Food,,,,,,,,
197,271,Japanese Restaurant,Hotel,,,,,,,,
198,272,Hotel,Food,,,,,,,,
199,273,Food,Japanese Restaurant,Hotel,French Restaurant,Food & Drink Shop,Asian Restaurant,Plaza,Bakery,Bar,Chinese Restaurant
200,274,French Restaurant,Food,Japanese Restaurant,Asian Restaurant,Bakery,Outdoors & Recreation,Bar,Hotel,Food & Drink Shop,Restaurant
201,275,Outdoors & Recreation,Italian Restaurant,French Restaurant,Food & Drink Shop,,,,,,
202,276,Japanese Restaurant,French Restaurant,Food,,,,,,,
203,277,Japanese Restaurant,Creperie,Italian Restaurant,French Restaurant,Food & Drink Shop,,,,,
204,278,Asian Restaurant,Bakery,Japanese Restaurant,Italian Restaurant,Hotel,French Restaurant,,,,
205,279,Asian Restaurant,Bakery,Italian Restaurant,Hotel,French Restaurant,,,,,
206,281,French Restaurant,Italian Restaurant,Restaurant,,,,,,,
207,282,French Restaurant,Italian Restaurant,Restaurant,,,,,,,
208,283,,,,,,,,,,
209,284,Restaurant,Italian Restaurant,French Restaurant,Clothing Store,Food,Shop & Service,Bakery,Bar,Food & Drink Shop,Dessert Shop
210,285,Italian Restaurant,Bakery,Clothing Store,Restaurant,Food,Hotel,French Restaurant,Shop & Service,Food & Drink Shop,Coffee Shop
211,286,Hotel,Asian Restaurant,,,,,,,,
212,287,Restaurant,,,,,,,,,
213,288,Bakery,Hotel,French Restaurant,Food,Restaurant,,,,,
214,289,Hotel,,,,,,,,,
215,290,Bakery,Restaurant,Café,French Restaurant,,,,,,
216,291,Bakery,French Restaurant,Café,Italian Restaurant,Food,Restaurant,,,,
217,292,Bar,Hotel,French Restaurant,Coffee Shop,,,,,,
218,293,Plaza,Bar,Hotel,French Restaurant,,,,,,
219,294,French Restaurant,,,,,,,,,
220,296,French Restaurant,,,,,,,,,
221,298,Asian Restaurant,Japanese Restaurant,Hotel,French Restaurant,Food & Drink Shop,Food,,,,
222,299,French Restaurant,Food & Drink Shop,Food,Asian Restaurant,Bakery,Italian Restaurant,Hotel,Restaurant,,
223,300,French Restaurant,Restaurant,Bakery,Outdoors & Recreation,Italian Restaurant,Food & Drink Shop,Food,,,
224,301,Outdoors & Recreation,Japanese Restaurant,Restaurant,,,,,,,
225,302,Bakery,Japanese Restaurant,French Restaurant,Food,Restaurant,,,,,
226,303,Dessert Shop,French Restaurant,Bakery,Chinese Restaurant,Restaurant,Food,Food & Drink Shop,Asian Restaurant,Japanese Restaurant,
227,304,Asian Restaurant,Japanese Restaurant,Athletics & Sports,Food & Drink Shop,Restaurant,,,,,
228,305,Shop & Service,Clothing Store,Food & Drink Shop,Food,Dessert Shop,Asian Restaurant,Coffee Shop,Hotel,,
229,306,Shop & Service,Clothing Store,Hotel,Food,Dessert Shop,Bakery,Food & Drink Shop,Restaurant,Japanese Restaurant,
230,307,Japanese Restaurant,Food,Restaurant,,,,,,,
231,308,Athletics & Sports,,,,,,,,,
232,309,Athletics & Sports,Outdoors & Recreation,French Restaurant,,,,,,,
233,310,Outdoors & Recreation,Italian Restaurant,French Restaurant,Food,Restaurant,,,,,
234,311,Hotel,Shop & Service,French Restaurant,Bakery,Clothing Store,Japanese Restaurant,Food & Drink Shop,Chinese Restaurant,Food,Asian Restaurant
235,312,Hotel,French Restaurant,Clothing Store,Asian Restaurant,Bakery,Japanese Restaurant,Food & Drink Shop,,,
236,313,French Restaurant,,,,,,,,,
237,314,French Restaurant,,,,,,,,,
238,315,Italian Restaurant,Hotel,Plaza,Bakery,Japanese Restaurant,Restaurant,,,,
239,316,Bakery,Italian Restaurant,Japanese Restaurant,Hotel,Food & Drink Shop,Restaurant,Shop & Service,Clothing Store,Plaza,French Restaurant
240,317,Bakery,Japanese Restaurant,Hotel,French Restaurant,Food,Shop & Service,Clothing Store,Italian Restaurant,Food & Drink Shop,Restaurant
241,318,Hotel,Bar,Italian Restaurant,French Restaurant,Food,Restaurant,,,,
242,319,Restaurant,,,,,,,,,
243,320,French Restaurant,,,,,,,,,
244,321,Hotel,French Restaurant,Italian Restaurant,Food & Drink Shop,Restaurant,,,,,
245,322,Coffee Shop,Plaza,Bakery,Nightlife Spot,Hotel,French Restaurant,Restaurant,,,
246,323,Food,Coffee Shop,Shop & Service,Plaza,Bakery,Nightlife Spot,Bar,French Restaurant,,
247,324,Food,Athletics & Sports,Bar,Italian Restaurant,Hotel,,,,,
248,325,Hotel,Restaurant,,,,,,,,
249,326,Hotel,Shop & Service,French Restaurant,Food,,,,,,
250,327,Italian Restaurant,French Restaurant,Food,Japanese Restaurant,Hotel,,,,,
251,328,French Restaurant,Asian Restaurant,Bakery,Outdoors & Recreation,Japanese Restaurant,Hotel,,,,
252,329,Bakery,Asian Restaurant,Italian Restaurant,French Restaurant,,,,,,
253,330,Bakery,Bar,Italian Restaurant,French Restaurant,Food,Restaurant,,,,
254,331,French Restaurant,Food,Bakery,Restaurant,,,,,,
255,332,Bakery,Japanese Restaurant,Food,,,,,,,
256,333,Bakery,Japanese Restaurant,Dessert Shop,Italian Restaurant,Athletics & Sports,Chinese Restaurant,Food & Drink Shop,Asian Restaurant,,
257,334,Asian Restaurant,Food & Drink Shop,French Restaurant,Athletics & Sports,Bakery,Café,Coffee Shop,Department Store,Restaurant,Food
258,335,Asian Restaurant,Clothing Store,Food & Drink Shop,Hotel,French Restaurant,Coffee Shop,Department Store,Restaurant,Food,Shop & Service
259,336,Shop & Service,Food,Clothing Store,Restaurant,Dessert Shop,Asian Restaurant,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop
260,337,Hotel,Athletics & Sports,Outdoors & Recreation,Bar,Japanese Restaurant,Restaurant,Coffee Shop,,,
261,338,Hotel,,,,,,,,,
262,339,Outdoors & Recreation,Nightlife Spot,French Restaurant,,,,,,,
263,340,French Restaurant,Asian Restaurant,Plaza,Outdoors & Recreation,,,,,,
264,341,Hotel,Asian Restaurant,Clothing Store,Plaza,Japanese Restaurant,French Restaurant,Bakery,Bar,Italian Restaurant,Food & Drink Shop
265,342,Hotel,Clothing Store,Japanese Restaurant,French Restaurant,Shop & Service,Food,Bakery,Bar,Chinese Restaurant,Creperie
266,343,Hotel,French Restaurant,,,,,,,,
267,344,French Restaurant,Plaza,Food,,,,,,,
268,345,Hotel,French Restaurant,Italian Restaurant,Japanese Restaurant,Shop & Service,Bakery,Café,Food,Food & Drink Shop,Asian Restaurant
269,346,Hotel,French Restaurant,Italian Restaurant,Bakery,Japanese Restaurant,Shop & Service,Plaza,Food & Drink Shop,Café,
270,347,French Restaurant,Hotel,Food,Italian Restaurant,Shop & Service,Bakery,Café,Clothing Store,Coffee Shop,Dessert Shop
271,348,French Restaurant,Italian Restaurant,Restaurant,Shop & Service,Bakery,Bar,Café,Coffee Shop,Food,Dessert Shop
272,349,Japanese Restaurant,Restaurant,,,,,,,,
273,350,Italian Restaurant,French Restaurant,,,,,,,,
274,351,Hotel,French Restaurant,Italian Restaurant,Pharmacy,Food & Drink Shop,Food,Restaurant,,,
275,352,French Restaurant,Restaurant,Hotel,Food,Plaza,Pharmacy,Athletics & Sports,Japanese Restaurant,Italian Restaurant,Bar
276,353,French Restaurant,Italian Restaurant,Restaurant,Bar,Nightlife Spot,Hotel,Food,Coffee Shop,Athletics & Sports,
277,354,Hotel,French Restaurant,Bar,Bakery,Nightlife Spot,Japanese Restaurant,Italian Restaurant,,,
278,355,Bakery,Japanese Restaurant,Italian Restaurant,Hotel,French Restaurant,,,,,
279,356,French Restaurant,,,,,,,,,
280,357,Café,,,,,,,,,
281,358,Plaza,Food,,,,,,,,
282,359,Hotel,Food,Athletics & Sports,Italian Restaurant,French Restaurant,Plaza,Outdoors & Recreation,Japanese Restaurant,,
283,360,French Restaurant,Athletics & Sports,Italian Restaurant,Hotel,Bakery,Outdoors & Recreation,Food,,,
284,361,French Restaurant,Bar,Hotel,,,,,,,
285,362,Hotel,Bar,French Restaurant,,,,,,,
286,363,French Restaurant,Bakery,Hotel,Food,Restaurant,Coffee Shop,,,,
287,364,French Restaurant,Bakery,Restaurant,Japanese Restaurant,Food,Coffee Shop,,,,
288,365,Outdoors & Recreation,,,,,,,,,
289,366,French Restaurant,Hotel,Asian Restaurant,Coffee Shop,Café,Food & Drink Shop,Restaurant,Department Store,,
290,367,Hotel,French Restaurant,Italian Restaurant,Restaurant,Asian Restaurant,Bakery,Food & Drink Shop,Food,Plaza,Department Store
291,368,Hotel,Asian Restaurant,Italian Restaurant,Creperie,Athletics & Sports,Japanese Restaurant,French Restaurant,,,
292,369,Hotel,Athletics & Sports,Outdoors & Recreation,Japanese Restaurant,Italian Restaurant,Food,Chinese Restaurant,,,
293,370,Japanese Restaurant,Chinese Restaurant,Food,,,,,,,
294,371,French Restaurant,Japanese Restaurant,Shop & Service,Bar,Italian Restaurant,Hotel,Food,,,
295,372,French Restaurant,Asian Restaurant,Plaza,,,,,,,
296,373,French Restaurant,Asian Restaurant,Plaza,Creperie,Italian Restaurant,,,,,
297,374,French Restaurant,Asian Restaurant,Italian Restaurant,Creperie,,,,,,
298,375,Plaza,Café,Hotel,French Restaurant,Restaurant,,,,,
299,376,Food,French Restaurant,Plaza,Hotel,Shop & Service,Coffee Shop,Bar,Café,Food & Drink Shop,Restaurant
300,377,French Restaurant,Food,Hotel,Italian Restaurant,Shop & Service,Bar,Japanese Restaurant,Food & Drink Shop,Chinese Restaurant,
301,378,Hotel,French Restaurant,Italian Restaurant,Café,Asian Restaurant,Japanese Restaurant,Food,,,
302,379,Hotel,Italian Restaurant,French Restaurant,Shop & Service,Athletics & Sports,Bakery,Café,Dessert Shop,Japanese Restaurant,Plaza
303,380,Italian Restaurant,Hotel,Shop & Service,French Restaurant,Bakery,Café,Restaurant,Food,Food & Drink Shop,Dessert Shop
304,381,Shop & Service,Food & Drink Shop,,,,,,,,
305,382,Hotel,French Restaurant,,,,,,,,
306,383,Hotel,French Restaurant,Food,Bakery,Bar,Café,Italian Restaurant,,,
307,384,Food,French Restaurant,Restaurant,Hotel,Bar,Plaza,Pharmacy,Athletics & Sports,Japanese Restaurant,
308,385,Restaurant,Italian Restaurant,Food,Hotel,French Restaurant,Plaza,Athletics & Sports,Bar,Japanese Restaurant,
309,386,French Restaurant,Italian Restaurant,Hotel,Bar,Japanese Restaurant,Asian Restaurant,Bakery,Nightlife Spot,Food,
310,387,Bakery,Italian Restaurant,French Restaurant,,,,,,,
311,388,Italian Restaurant,French Restaurant,,,,,,,,
312,389,Asian Restaurant,Italian Restaurant,,,,,,,,
313,390,Hotel,,,,,,,,,
314,391,French Restaurant,Plaza,Food,,,,,,,
315,392,French Restaurant,Hotel,Plaza,Athletics & Sports,Japanese Restaurant,Food,Restaurant,,,
316,393,French Restaurant,Hotel,Restaurant,Japanese Restaurant,,,,,,
317,394,French Restaurant,Asian Restaurant,Outdoors & Recreation,Hotel,,,,,,
318,395,Hotel,Shop & Service,Bakery,Outdoors & Recreation,,,,,,
319,396,French Restaurant,Hotel,Shop & Service,Athletics & Sports,Bakery,Restaurant,,,,
320,397,French Restaurant,Restaurant,Shop & Service,Bakery,Coffee Shop,Food,Asian Restaurant,,,
321,398,Shop & Service,French Restaurant,Bakery,Bar,Food,Asian Restaurant,Plaza,Outdoors & Recreation,,
322,399,Hotel,Outdoors & Recreation,French Restaurant,Food & Drink Shop,Restaurant,,,,,
323,400,Hotel,Asian Restaurant,Japanese Restaurant,Café,French Restaurant,Food & Drink Shop,,,,
324,401,Hotel,Japanese Restaurant,Italian Restaurant,Asian Restaurant,Bar,French Restaurant,Food & Drink Shop,Food,Restaurant,Café
325,402,Hotel,Food,Japanese Restaurant,Restaurant,Italian Restaurant,French Restaurant,Bakery,Food & Drink Shop,,
326,403,Food,Japanese Restaurant,Restaurant,Shop & Service,Bakery,Bar,Hotel,Chinese Restaurant,,
327,404,French Restaurant,Hotel,Food,Shop & Service,Plaza,Bar,Japanese Restaurant,Italian Restaurant,Restaurant,
328,405,French Restaurant,Plaza,Italian Restaurant,Hotel,,,,,,
329,406,French Restaurant,Bar,,,,,,,,
330,407,Plaza,Bar,Food,,,,,,,
331,408,Plaza,Nightlife Spot,Japanese Restaurant,French Restaurant,Café,Food,Restaurant,,,
332,409,Food,French Restaurant,Plaza,Café,Hotel,Shop & Service,Bar,Restaurant,Food & Drink Shop,Asian Restaurant
333,410,French Restaurant,Hotel,Bakery,Bar,Italian Restaurant,Food,Shop & Service,Food & Drink Shop,Restaurant,Chinese Restaurant
334,411,French Restaurant,Hotel,Italian Restaurant,Food,Athletics & Sports,Bakery,Bar,Café,Chinese Restaurant,Restaurant
335,412,Hotel,French Restaurant,Café,Italian Restaurant,Food,Asian Restaurant,Athletics & Sports,Japanese Restaurant,,
336,413,Hotel,Bar,Food,Food & Drink Shop,Shop & Service,Café,Clothing Store,French Restaurant,Asian Restaurant,Italian Restaurant
337,414,Shop & Service,Bar,French Restaurant,Food & Drink Shop,Hotel,Food,Restaurant,Clothing Store,,
338,415,Hotel,French Restaurant,,,,,,,,
339,416,Hotel,Food,Bakery,Bar,Café,,,,,
340,417,Food,Hotel,French Restaurant,Restaurant,Asian Restaurant,Bar,Plaza,Bakery,Italian Restaurant,
341,418,French Restaurant,Food,Bar,Restaurant,Plaza,Athletics & Sports,Bakery,Italian Restaurant,Hotel,Food & Drink Shop
342,419,French Restaurant,Athletics & Sports,Italian Restaurant,Bar,Japanese Restaurant,Food & Drink Shop,Restaurant,,,
343,420,French Restaurant,Japanese Restaurant,Restaurant,,,,,,,
344,421,French Restaurant,Bar,Food & Drink Shop,Food,,,,,,
345,422,French Restaurant,Outdoors & Recreation,Bar,Food & Drink Shop,Food,,,,,
346,423,Athletics & Sports,Bakery,Outdoors & Recreation,Hotel,Creperie,,,,,
347,424,Hotel,Café,French Restaurant,,,,,,,
348,425,Hotel,Restaurant,,,,,,,,
349,426,French Restaurant,Chinese Restaurant,,,,,,,,
350,427,French Restaurant,Chinese Restaurant,Restaurant,,,,,,,
351,428,French Restaurant,Asian Restaurant,Café,Coffee Shop,Restaurant,,,,,
352,429,Asian Restaurant,Coffee Shop,Outdoors & Recreation,Italian Restaurant,Hotel,French Restaurant,Food & Drink Shop,Café,,
353,430,Bakery,Italian Restaurant,Hotel,,,,,,,
354,431,Shop & Service,Athletics & Sports,Bakery,French Restaurant,,,,,,
355,432,French Restaurant,Asian Restaurant,Athletics & Sports,Bar,Italian Restaurant,,,,,
356,433,Italian Restaurant,Asian Restaurant,Bakery,Bar,Food,French Restaurant,Dessert Shop,Plaza,,
357,434,Food,Shop & Service,Japanese Restaurant,Bakery,Food & Drink Shop,French Restaurant,Dessert Shop,Plaza,,
358,435,Shop & Service,Hotel,French Restaurant,,,,,,,
